Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsQuote__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__c,ErrorConditionExternalID__c
b1e53f95-31ab-4e47-85c2-31d78e2d29e2,USD,a5127492-2114-4a3c-a72d-563415e0b952,Value,FALSE,#N/A,50.0,equals,true,true,IsPartnerQuote__c,Quote,#N/A,#N/A
b2469035-c61b-4980-8049-042ae34d720b,USD,2da52a79-f301-4f3c-acb7-77967369887b,Value,0,#N/A,30.0,equals,true,false,#N/A,#N/A,48a7ad79-8ab5-4c9c-a954-924412e61f81,#N/A
b30183c6-0d6b-4deb-9ca7-46c5f8e30186,USD,9f15544c-170d-4afb-a618-2067b9a7f40a,Value,0,#N/A,20.0,greater than,true,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
b572ba9a-5652-4761-bfcd-707efdab20c0,USD,bbb3fb90-ddd5-47c4-9d1c-522c78e36740,Value,CSDT-BP-XX-CPQ,#N/A,#N/A,equals,true,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
b599739c-e313-441b-9967-8274e679abd5,USD,a75a5686-04b1-4054-89c1-1098ba5812a8,Value,100,#N/A,1.0,greater than,true,true,#N/A,#N/A,17757b13-6bc0-49fb-99ef-e2c29664c0c0,#N/A
b633fe53-af92-4a20-a9f9-487053ad6172,USD,bbb3fb90-ddd5-47c4-9d1c-522c78e36740,Value,CSB-BP-XX-CPQ,#N/A,#N/A,equals,true,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
b7dd2f36-4f75-4f2b-b548-154add1c292b,USD,0b6b79d9-08c8-48b1-83ad-c4b0acffc7eb,Value,1,#N/A,2.0,less than,true,false,#N/A,#N/A,b55e482e-ef1c-4090-823e-eefcee3ed1a5,#N/A
b800be2b-98fc-416c-87c5-f6e12d754095,USD,9f15544c-170d-4afb-a618-2067b9a7f40a,Value,PDRB,#N/A,10.0,starts with,true,true,SBQQ__ProductCode__c,Quote Line,#N/A,#N/A
bafd00dc-fcab-4d2d-b62b-f7b47d0dd9da,USD,b3bd2cf0-2f7b-4006-85e0-7acfcb8bc0df,Value,FALSE,#N/A,60.0,equals,false,true,SalesOpsOverride__c,Quote,#N/A,#N/A
bc0efc31-e447-45cc-8e50-d10874402c5e,USD,a9a785cf-a547-4f06-ad3c-e35537babae0,Value,FALSE,#N/A,2.0,equals,true,true,fml_Is_Parent_CPQ_Bundle__c,Quote Line,#N/A,#N/A
